"Sample","PC1"
"223328",0.104972291616637
"223361",0.103424239363272
"223390",0.0925812094784255
"223393",0.0993171873937217
"223394",0.0960927021749032
"223454",0.100388361167139
"223499",0.0953382114664509
"223526",0.101038929838616
"223625",0.103066831210143
"223627",0.0969236188552992
"223636",0.0979315523813696
"223648",0.0992759001693353
"223670",0.104743616963562
"223677",0.0966484909961547
"223686",0.102878084005434
"223692",0.102602394331268
"223700",0.096633504993146
"223707",0.0978396546874844
"223723",0.104095355890395
"223734",0.10302757548866
"223762",0.0975546571640928
"223764",0.096580656232883
"223767",0.0960596228519668
"223768",0.0985721851772907
"223800",0.0889658767755443
"223803",0.0958345794773356
"223805",0.0926628946892901
"223818",0.0969019672442294
"223847",0.1003459639731
"223848",0.0826691394248076
"240005",-0.0537066704185144
"240018",-0.0476093347376077
"240055",-0.050050934432775
"240058",-0.0503194836825673
"240077",-0.0511090966594283
"240081",-0.0535275525186779
"240115",-0.0493323254763521
"240123-BU",-0.0592392172002041
"240124",-0.052857990761505
"240132",-0.0527587897753405
"240134",-0.0546332130462104
"240155",-0.0493545481778965
"240163",-0.0547841024758364
"240168",-0.056293240979384
"240170",-0.0518390788461814
"240171",-0.0528625570049366
"240182",-0.0552062094187429
"240184",-0.0529871771144765
"240192",-0.0541051599319152
"240195",-0.0515558094192956
"240203",-0.0520029491132277
"240205",-0.0505688621882351
"240206",-0.0531811685545359
"240207",-0.0527478379067554
"240208",-0.0521457047993578
"240210",-0.0534984428846874
"240213",-0.0511074885888429
"240214",-0.0536666112369916
"240220",-0.0549435390030601
"240221",-0.0529505303558296
"240227",-0.0544810298748258
"240228",-0.0527099967419243
"240229",-0.0521762077035957
"240230",-0.0524381178333893
"240231",-0.0528188677499939
"240233",-0.0496142636327682
"240236",-0.0527715758430104
"240247",-0.0535834755570984
"240248",-0.0524951467656371
"240257",-0.0527240048584609
"240294",-0.0581265971972205
"240295",-0.0504886406014151
"240310",-0.0536489664228712
"240363",-0.0511380843808751
"240367",-0.0509475243359033
"240380",-0.0540457637072753
"240383",-0.0528575112748789
"240387",-0.0511985046931215
"240405",-0.056701032979924
"240406",-0.0543261506661111
"240407",-0.0600322038803993
"240416",-0.0567126113583183
"240424",-0.0436706653164039
"240425",-0.0526472813366469
"240430",-0.0500265180170447
"240440",-0.0527436418938011
"240443",-0.0509889034630515
"25208",-0.050165734644514
"25214",-0.0556884652760079
"25219",-0.054262138736249
"25240",-0.0545265947301013
"25247",-0.0378556216464515
"25255",-0.059376137642111
"25268",-0.052525123801183
"25286",-0.0518576953721681
"25292",-0.0546142264634108
"25296",-0.0587478797209864
"25344",-0.0583845311054247
"25348",-0.0501971858274557
"25383",-0.0529719293975789
"25385",-0.049084106208798
"25391",-0.0568164701353069
"25399",-0.0538246705304611
"25408",-0.0542075509010026
"25410",-0.0528589674674063
"25420",-0.0514951378632005
"25430",-0.0557103115422375
"25437",-0.0608635533155696
"25445",-0.0544859543445436
"25454",-0.0585198808337152
"25465",-0.0525999858159713
"25488",-0.0524062021408993
"25511",-0.0556129927181346
"25513",-0.0533065457303713
"25514",-0.0567638413346039
"25524",-0.0523463340551202
