fishID,exPlate,exConc,broodID,pop,year,age,dilPlate,dilWell,dilConc,action,subPlate,subWell,volDil,volWater,volExt,volWater
223805,TH-Ext-2023-010,94.08,9107_2021_223805_M,CHILLIWACK_RIVER_fall,2021,2,P2,A2,23.23,as-is,P1,G12,10,0,,
18278,TH-Ext-2023-004,93.81,9107_2017_18278_M,CHILLIWACK_RIVER_fall,2017,3,P2,B2,19.38,as-is,P1,H12,10,0,,
240367,TH-Ext-2023-011,93.73,9105_2021_240367_M,PUNTLEDGE_RIVER_fall,2021,3,P2,C2,24.04,as-is,P2,A1,10,0,,
5752,TH-Ext-2023-004,93.26,100_2016_5752_M,QUALICUM_RIVER,2016,2,P2,D2,25.54,as-is,P2,B1,10,0,,
93859,TH-Ext-2023-009,93.1,9105_2020_93859_M,PUNTLEDGE_RIVER_fall,2020,3,P2,E2,22.3,as-is,P2,C1,10,0,,
223011,TH-Ext-2023-010,92.62,9107_2021_223011_M,CHILLIWACK_RIVER_fall,2021,4,P2,F2,24.31,as-is,P2,D1,10,0,,
18102,TH-Ext-2023-004,92.44,9107_2017_18102_M,CHILLIWACK_RIVER_fall,2017,3,P2,G2,20.02,as-is,P2,E1,10,0,,
219302,TH-Ext-2023-011,91.97,100_2021_219302_M,QUALICUM_RIVER,2021,3,P2,H2,23.56,as-is,P2,F1,10,0,,
223625,TH-Ext-2023-010,91.86,9107_2021_223625_M,CHILLIWACK_RIVER_fall,2021,3,P2,A3,19.64,as-is,P2,G1,10,0,,
71393,TH-Ext-2023-010,91.71,100_2020_71393_M,QUALICUM_RIVER,2020,3,P2,B3,26.59,as-is,P2,H1,10,0,,
240231,TH-Ext-2023-011,91.64,9105_2021_240231_M,PUNTLEDGE_RIVER_fall,2021,2,P2,C3,23.71,as-is,P2,A2,10,0,,
240406,TH-Ext-2023-011,91.64,9105_2021_240406_M,PUNTLEDGE_RIVER_fall,2021,3,P2,D3,23.31,as-is,P2,B2,10,0,,
