"fishID","pop","year","age","name","haplotype"
"18267","CHILLIWACK_RIVER_fall",2018,3,"Hap2","5"
"18271","CHILLIWACK_RIVER_fall",2017,3,"Hap1","4"
"18271","CHILLIWACK_RIVER_fall",2017,3,"Hap2","6"
"18275","CHILLIWACK_RIVER_fall",2018,3,"Hap1","6"
"18275","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18276","CHILLIWACK_RIVER_fall",2017,3,"Hap1","2"
"18276","CHILLIWACK_RIVER_fall",2017,3,"Hap2","4"
"18278","CHILLIWACK_RIVER_fall",2017,3,"Hap1","4"
"18278","CHILLIWACK_RIVER_fall",2017,3,"Hap2","5"
"18287","CHILLIWACK_RIVER_fall",2018,3,"Hap1","4"
"18287","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18288","CHILLIWACK_RIVER_fall",2018,3,"Hap1","4"
"18288","CHILLIWACK_RIVER_fall",2018,3,"Hap2","6"
"18296","CHILLIWACK_RIVER_fall",2017,4,"Hap1","4"
"18296","CHILLIWACK_RIVER_fall",2017,4,"Hap2","5"
"18340","CHILLIWACK_RIVER_fall",2018,4,"Hap1","4"
"18340","CHILLIWACK_RIVER_fall",2018,4,"Hap2","4"
"18342","CHILLIWACK_RIVER_fall",2018,3,"Hap1","5"
"18342","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18354","CHILLIWACK_RIVER_fall",2018,3,"Hap1","5"
"18354","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18360","CHILLIWACK_RIVER_fall",2017,4,"Hap1","4"
"18360","CHILLIWACK_RIVER_fall",2017,4,"Hap2","6"
"18380","CHILLIWACK_RIVER_fall",2017,3,"Hap1","6"
"18380","CHILLIWACK_RIVER_fall",2017,3,"Hap2","4"
"18385","CHILLIWACK_RIVER_fall",2018,4,"Hap1","4"
"18385","CHILLIWACK_RIVER_fall",2018,4,"Hap2","4"
"18386","CHILLIWACK_RIVER_fall",2017,4,"Hap1","4"
"18386","CHILLIWACK_RIVER_fall",2017,4,"Hap2","6"
"18410","CHILLIWACK_RIVER_fall",2018,3,"Hap1","4"
"18410","CHILLIWACK_RIVER_fall",2018,3,"Hap2","5"
"18421","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18421","CHILLIWACK_RIVER_fall",2018,2,"Hap2","6"
"18431","CHILLIWACK_RIVER_fall",2018,4,"Hap1","6"
"18431","CHILLIWACK_RIVER_fall",2018,4,"Hap2","4"
"18435","CHILLIWACK_RIVER_fall",2018,2,"Hap1","6"
"18435","CHILLIWACK_RIVER_fall",2018,2,"Hap2","4"
"18438","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18438","CHILLIWACK_RIVER_fall",2018,2,"Hap2","6"
"18447","CHILLIWACK_RIVER_fall",2018,2,"Hap1","5"
"18447","CHILLIWACK_RIVER_fall",2018,2,"Hap2","4"
"18454","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18454","CHILLIWACK_RIVER_fall",2018,2,"Hap2","4"
"18460","CHILLIWACK_RIVER_fall",2018,2,"Hap1","5"
"18460","CHILLIWACK_RIVER_fall",2018,2,"Hap2","4"
"18462","CHILLIWACK_RIVER_fall",2018,3,"Hap1","4"
"18462","CHILLIWACK_RIVER_fall",2018,3,"Hap2","4"
"18466","CHILLIWACK_RIVER_fall",2017,3,"Hap1","5"
"18466","CHILLIWACK_RIVER_fall",2017,3,"Hap2","4"
"18469","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18469","CHILLIWACK_RIVER_fall",2018,2,"Hap2","5"
"18478","CHILLIWACK_RIVER_fall",2017,2,"Hap1","4"
"18478","CHILLIWACK_RIVER_fall",2017,2,"Hap2","5"
"18479","CHILLIWACK_RIVER_fall",2018,3,"Hap1","4"
"18479","CHILLIWACK_RIVER_fall",2018,3,"Hap2","5"
"18483","CHILLIWACK_RIVER_fall",2017,2,"Hap1","4"
"18483","CHILLIWACK_RIVER_fall",2017,2,"Hap2","6"
"18485","CHILLIWACK_RIVER_fall",2017,2,"Hap1","4"
"18485","CHILLIWACK_RIVER_fall",2017,2,"Hap2","4"
"18486","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18486","CHILLIWACK_RIVER_fall",2018,2,"Hap2","5"
"18489","CHILLIWACK_RIVER_fall",2018,4,"Hap1","4"
"18489","CHILLIWACK_RIVER_fall",2018,4,"Hap2","4"
"18494-1","CHILLIWACK_RIVER_fall",2017,2,"Hap1","4"
"18494-1","CHILLIWACK_RIVER_fall",2017,2,"Hap2","4"
"18494-2","CHILLIWACK_RIVER_fall",2018,4,"Hap1","4"
"18494-2","CHILLIWACK_RIVER_fall",2018,4,"Hap2","4"
"18497","CHILLIWACK_RIVER_fall",2018,2,"Hap1","4"
"18497","CHILLIWACK_RIVER_fall",2018,2,"Hap2","5"
"19213","CHILLIWACK_RIVER_fall",2019,4,"Hap1","4"
"19213","CHILLIWACK_RIVER_fall",2019,4,"Hap2","6"
"19214","CHILLIWACK_RIVER_fall",2019,4,"Hap1","4"
"19214","CHILLIWACK_RIVER_fall",2019,4,"Hap2","6"
"19217","CHILLIWACK_RIVER_fall",2019,3,"Hap1","4"
"19217","CHILLIWACK_RIVER_fall",2019,3,"Hap2","6"
"19218","CHILLIWACK_RIVER_fall",2019,4,"Hap1","6"
"19218","CHILLIWACK_RIVER_fall",2019,4,"Hap2","4"
"19257","CHILLIWACK_RIVER_fall",2019,3,"Hap1","4"
"19257","CHILLIWACK_RIVER_fall",2019,3,"Hap2","5"
"19270","CHILLIWACK_RIVER_fall",2019,4,"Hap1","4"
"19270","CHILLIWACK_RIVER_fall",2019,4,"Hap2","4"
"19277","CHILLIWACK_RIVER_fall",2019,4,"Hap1","4"
"19277","CHILLIWACK_RIVER_fall",2019,4,"Hap2","6"
"19289-R","CHILLIWACK_RIVER_fall",2019,4,"Hap1","4"
"19289-R","CHILLIWACK_RIVER_fall",2019,4,"Hap2","6"
"19308","CHILLIWACK_RIVER_fall",2019,4,"Hap1","4"
"19308","CHILLIWACK_RIVER_fall",2019,4,"Hap2","4"
"19321-R","CHILLIWACK_RIVER_fall",2019,4,"Hap1","6"
"19321-R","CHILLIWACK_RIVER_fall",2019,4,"Hap2","4"
"19324","CHILLIWACK_RIVER_fall",2019,4,"Hap1","4"
"19324","CHILLIWACK_RIVER_fall",2019,4,"Hap2","4"
"19333","CHILLIWACK_RIVER_fall",2019,3,"Hap1","2"
"19333","CHILLIWACK_RIVER_fall",2019,3,"Hap2","5"
"19351","CHILLIWACK_RIVER_fall",2019,2,"Hap1","2"
"19351","CHILLIWACK_RIVER_fall",2019,2,"Hap2","5"
"19355","CHILLIWACK_RIVER_fall",2019,4,"Hap1","3"
"19355","CHILLIWACK_RIVER_fall",2019,4,"Hap2","4"
"19400","CHILLIWACK_RIVER_fall",2019,3,"Hap1","4"
"19400","CHILLIWACK_RIVER_fall",2019,3,"Hap2","4"
"19429","CHILLIWACK_RIVER_fall",2019,3,"Hap1","4"
"19429","CHILLIWACK_RIVER_fall",2019,3,"Hap2","4"
